CUSTNO,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
447,96,5,17,709,1330,74,200
448,19,14,20,68,714,85,200
449,62,92,30,502,1153,73,200
450,80,84,20,952,1332,80,200
451,10,14,30,806,1381,80,200
452,84,6,27,212,599,83,200
453,40,83,13,71,866,76,200
454,75,58,15,984,1440,81,200
455,3,40,18,712,1119,79,200
456,15,59,16,624,1102,83,200
457,5,20,21,636,1440,81,200
458,44,69,26,913,1440,80,200
459,67,63,13,158,675,83,200
460,5,17,23,792,1440,79,200
461,46,95,14,145,1037,80,200
462,91,17,21,372,1002,78,200
463,79,30,15,99,984,73,200
464,82,53,8,57,731,84,200
465,3,73,15,177,676,78,200
466,4,56,21,80,767,79,200
467,86,97,15,798,1440,83,200
468,47,24,9,508,1129,84,200
469,17,71,18,510,1005,82,200
470,25,61,22,496,1420,73,200
471,32,88,34,998,1440,76,200
472,0,99,20,516,1440,76,200
473,62,64,21,385,1141,79,200
474,29,48,8,776,1440,77,200
475,6,72,14,785,1440,85,200
476,13,10,19,188,1000,78,200
477,18,62,35,46,892,85,200
478,0,94,19,723,1440,76,200
479,14,51,35,463,1057,80,200
480,27,35,12,896,1440,79,200
481,55,91,28,604,1099,80,200
482,13,50,12,750,1381,84,200
483,82,77,21,211,654,81,200
484,6,99,26,814,1440,76,200
485,17,30,22,857,1440,85,200
486,98,85,13,38,772,81,200
487,49,18,31,554,964,80,200
488,97,19,14,219,869,78,200
489,33,50,22,94,631,81,200
490,90,65,25,146,956,78,200
491,72,84,10,471,1164,84,200
492,91,98,15,761,1440,84,200
493,88,36,13,517,1061,82,200
494,18,4,40,612,1017,79,200
495,49,53,13,774,1440,81,200
496,55,49,23,119,823,76,200
497,35,13,17,203,642,71,200
498,92,76,20,191,1142,76,200
499,66,73,18,568,969,82,200
500,91,95,29,422,1203,80,200
